0.0 499.99999999999494 7.273731984506096e-05 1.454746394458084e-07 
0.01 499.99986584990086 -0.3662650387238063 -0.000732530136080694 
0.02 499.9979513400881 -1.4648135561060665 -0.0029303998413525868 
0.03 499.9898546158355 -3.293664252031372 -0.006592817659514942 
0.04 499.9671646861267 -5.854615042296643 -0.011720390500108405 
0.05 499.91825463762484 -9.149088066020026 -0.018313600311240057 
0.06 499.82842645865765 -13.177425313486198 -0.02637256610388618 
0.07 499.67991103921764 -17.938888626146404 -0.035897043951892305 
0.08 499.45186817096203 -23.431659696618393 -0.0468864269919731 
0.09 499.1203865472127 -29.652840068686498 -0.05933974542371254 
0.1 498.6584837629564 -36.598451137301566 -0.07325566650956372 
0.11 498.0361063148443 -44.26343414858097 -0.08863249457484898 
0.12 497.2201296011926 -52.64165019980867 -0.10546817100775996 
0.13 496.17435792198194 -61.72588023943515 -0.12376027425935729 
0.14 494.8595244788579 -71.50782506707742 -0.1435060198435711 
0.15 493.2332913751306 -81.978105333519 -0.1647022603372004 
0.16 491.26618021389396 -93.1285281067477 -0.18734203713872466 
0.17 488.92982440408576 -104.94780832979731 -0.21141596074518149 
0.18 486.1546214340786 -117.41304868113801 -0.2369210651840798 
0.19 482.87340859909057 -130.4965785784405 -0.2638520535529975 
0.2 479.0226363072936 -144.16613840792144 -0.29220105584425693 
0.21 474.54236807981346 -158.38487952434343 -0.3219576289449249 
0.22 469.37628055072963 -173.11136425101535 -0.35310875663681307 
0.23 463.47166346707536 -188.29956587979183 -0.38563884959647726 
0.24 456.77941968883783 -203.89886867107367 -0.4195297453952181 
0.25 449.25406518895784 -219.85406785380775 -0.45476070849908073 
0.26 440.85372905332997 -236.1053696254869 -0.49130843026885485 
0.27 431.54015348080276 -252.58839115214994 -0.5291470289600747 
0.28 421.27869378317837 -269.2341605683818 -0.5682480497230189 
0.29 410.03831838521296 -285.96911697731326 -0.6085804646027106 
0.3 397.7916088246161 -302.7151104506215 -0.6501106725389183 
0.31 384.5147597520514 -319.38940202852945 -0.692802499366154 
0.32 370.18757893113633 -335.90466371980614 -0.7366171978136747 
0.33 354.79348723844197 -352.16897850176645 -0.7815134475054819 
0.34 338.3195186634932 -368.08584032027153 -0.8274473549603218 
0.35000000000000003 320.756320308769 -383.55415408972857 -0.874372453591685 
0.36 302.09815238970157 -398.4682356930905 -0.9222397037078064 
0.37 282.3429011729242 -412.71788175209434 -0.9709975028972734 
0.38 261.50884750716546 -426.20468743372714 -1.020591818107069 
0.39 239.66490586266414 -438.8268168084834 -1.0709580030484451 
0.4 216.89115419159012 -450.4790019562001 -1.122026771483025 
0.41000000000000003 193.27074377454477 -461.0664359935754 -1.1737279691597784 
0.42 168.88989922056118 -470.5047730741685 -1.2259905738150214 
0.43 143.8379184671037 -478.72012838840004 -1.2787426951724183 
0.44 118.20717278006859 -485.6490781635514 -1.331911574942979 
0.45 92.0931067537837 -491.23865966376536 -1.385423586825061 
0.46 65.59423831100821 -495.44637119004574 -1.4392042365043678 
0.47000000000000003 38.81215870293326 -498.24017208025737 -1.4931781616539508 
0.48 11.851532509181368 -499.59848270912653 -1.5472691319342067 
0.49 -15.179902362193616 -499.5101844882403 -1.6014000489928812 
0.5 -42.17133467470563 -497.9746198660472 -1.655492946465065 
0.51 -69.0088798634377 -495.00159232785654 -1.7094689899731965 
0.52 -95.57558003504073 -490.611366395839 -1.7632484771270607 
0.53 -121.75140396773412 -484.8346676290265 -1.816750837523789 
0.54 -147.41324711130602 -477.7126826233118 -1.8698946327478607 
0.55 -172.43493158711254 -469.29705901144894 -1.922597556371101 
0.56 -196.70334178417377 -459.6516751888336 -1.9747836767467968 
0.5700000000000001 -220.15686669776045 -448.8674124822339 -2.0263924261255255 
0.58 -242.73348956340237 -437.0469710654278 -2.0773554576159765 
0.59 -264.37836062028856 -424.291851240085 -2.1276068655991627 
0.6 -285.04466769602357 -410.70222131229536 -2.1770837062786583 
0.61 -304.69363620662836 -396.376917592568 -2.2257259976805983 
0.62 -323.2945291565403 -381.413444395832 -2.2734767196536807 
0.63 -340.82464713861293 -365.90797404143586 -2.3202818138691654 
0.64 -357.269328334116 -349.9553468531477 -2.366090183820873 
0.65 -372.62194851273546 -333.6490711591555 -2.410853694825187 
0.66 -386.8839210325737 -317.08132329206677 -2.4545271740210524 
0.67 -400.0646968401491 -300.34294758890866 -2.4970684103699754 
0.68 -412.1817644703965 -283.523456391128 -2.5384381546560246 
0.6900000000000001 -423.2606500466668 -266.7110300445911 -2.578600119485831 
0.7000000000000001 -433.3349172807273 -249.9925168995843 -2.617520979288585 
0.71 -442.4461674727615 -233.45343331081338 -2.655170370316042 
0.72 -450.644039511369 -217.17796363740345 -2.6915208906425176 
0.73 -457.9857414524265 -201.24844856643008 -2.7265480647849913 
0.74 -464.51548274870777 -185.71706181499863 -2.760229857201145 
0.75 -470.28411585670307 -170.62020833608676 -2.7925496642098664 
0.76 -475.349941378223 -155.9983278516993 -2.8234932358960796 
0.77 -479.76921854667324 -141.888915254235 -2.853047374166586 
