Time:,Body1,x,y,phi(r),phi(d),dx/dt,dy/dt,dphi/dt(r),dphi/dt(d),d2x/dt2,d2y/dt2,d2phi/dt2(r),d2phi/dt2(d),Point1,x,y,dx/dt,dy/dt,Point2,x,y,dx/dt,dy/dt,Lam1,x,y,Kin1,-,Pot1,-,TotKin,TotPot,Total,,
Time:,Link002,-,-,-,-,-,-,-,-,-,-,-,-,Link001-{PointO},-,-,-,-,Link001-{PointA},-,-,-,-,Link002,-,-,Link002,-,Link002,-,,,,,
0,0,0.01,L,5.00E-01,-3.66E-04,0.00073253,0.041970885,-5.37E-05,-7.33E-02,0.146535117,8.395843733,-0.01610334,-7.32674443,14.65350852,839.5841931,L,0.00E+00,-2.95E-16,-2.12E-16,-2.54E-14,L,1.00E+00,-7.33E-04,-1.07E-04,-1.47E-01,L,-0.000859383,-2002.197701,L,0.002897599,L,-0.002897024,0.002897599,-0.002897024,5.75E-07
5.31,-,-0.04810698,-0.49768034,1.667159349,95.52119445,2.68798364,-0.25982696,0.401024381,9.455902099,2.10499752,14.45004047,0.409872399,0.779738119,-,8.82E-13,-2.40E-14,2.81E-13,3.66E-13,-,-0.09621396,-0.99536068,5.37596728,-0.51965392,-,-2623.556161,-19327.23139,-,0.936471911,-,-3.936471336,3.936471911,-3.936471336,5.75E-07,,
5.32,-,-0.02114141,-0.49955284,1.613091763,92.42335001,2.70316805,-0.1143999,0.411175412,10.03751333,0.92855683,14.61421743,0.619591936,5.500002974,-,8.67E-13,-2.02E-14,1.74E-13,-5.53E-14,-,-0.04228283,-0.99910568,5.4063361,-0.2287998,-,-1697.224106,-19560.46271,-,0.951282731,-,-3.951282156,3.951282731,-3.951282156,5.75E-07,,
5.33,-,0.0059169,-0.49996499,1.558962242,89.32195687,2.70651405,0.03203061,0.413407155,10.16538277,-0.26009211,14.65043648,0.173406865,9.935481506,-,8.74E-13,-2.05E-14,1.81E-13,2.63E-14,-,0.01183381,-0.99992998,5.4130281,0.06406123,-,-748.6797552,-19692.83583,-,0.954542675,-,-3.9545421,3.954542675,-3.9545421,5.75E-07,,
5.34,-,0.03294924,-0.49891317,1.504850054,86.22155692,2.69797763,0.17817994,0.407709814,9.838949181,-1.44531803,14.55806284,0.965644251,55.32734008,-,8.90E-13,-1.75E-14,1.29E-13,2.73E-13,-,0.06589848,-0.99782633,5.39595525,0.35635988,-,209.7078944,-19722.03864,-,0.946223138,-,-3.946222562,3.946223138,-3.946222562,5.75E-07,,
5.35,-,0.05983721,-0.4964066,1.450834396,83.12668768,2.67767098,0.32276837,0.39410838,9.05964441,-2.61157125,14.33871393,1.753650479,100.4767712,-,8.53E-13,-2.81E-14,2.66E-13,-1.93E-13,-,0.11967441,-0.99281319,5.35534196,0.64553675,-,1165.335627,-19647.55932,-,0.926397076,-,-3.926396501,3.926397076,-3.926396501,5.75E-07,,
5.36,-,0.0864643,-0.49246718,1.396994039,80.04186246,2.64585986,0.46454347,0.3726623,7.830874559,-3.74375258,13.99621003,2.534011299,145.1881527,-,8.71E-13,-2.31E-14,1.15E-13,1.75E-13,-,0.17292859,-0.98493436,5.29171973,0.92908694,-,2105.665986,-19470.70199,-,0.895237736,-,-3.89523716,3.895237736,-3.89523716,5.75E-07,,
5.37,-,0.11271742,-0.48712912,1.343406992,76.97155083,2.60295728,0.60230153,0.343464703,6.157975465,-4.82756525,13.53645829,3.303412121,189.2715725,-,8.85E-13,-1.34E-14,1.23E-13,9.53E-14,-,0.22543483,-0.97425825,5.20591457,1.20460307,-,3018.524755,-19194.54686,-,0.853015634,-,-3.853015059,3.853015634,-3.853015059,5.75E-07,,
5.38,-,0.13848829,-0.48043833,1.290150169,73.92015959,2.54951385,0.73490768,0.306641188,4.048143483,-5.84983672,12.96727558,4.058679833,232.5452248,-,9.40E-13,4.43E-14,-1.01E-12,1.13E-12,-,0.27697658,-0.96087667,5.0990277,1.46981535,-,3892.384684,-18823.85676,-,0.800093902,-,-3.800093327,3.800093902,-3.800093327,5.75E-07,,
5.39,-,0.1636748,-0.47245165,1.23729907,70.8920147,2.48620509,0.86131377,0.262348218,1.510343202,-6.79879916,12.29815819,4.796821338,274.8376177,-,9.46E-13,7.30E-14,-1.54E-12,1.19E-12,-,0.32734959,-0.9449033,4.97241019,1.72262755,-,4716.624987,-18364.93431,-,0.736922117,-,-3.736921541,3.736922117,-3.736921541,5.75E-07,,
5.4,-,0.18818212,-0.46323589,1.184927487,67.89134406,2.41381621,0.98057394,0.210771138,98.55519423,-7.6643192,11.54000856,5.515057986,315.9895463,-,9.09E-13,4.25E-14,-7.20E-13,4.34E-13,-,0.37636423,-0.92647178,4.82763242,1.96114789,-,5481.757439,-17825.43621,-,0.664028805,-,-3.66402823,3.664028805,-3.66402823,5.75E-07,,
5.41,-,0.21192377,-0.45286677,1.133107224,64.92226166,2.33322482,1.0918571,0.152121886,95.1948396,-8.43807083,10.7048308,6.21085523,355.8557918,-,8.25E-13,-1.71E-13,1.99E-12,-3.42E-13,-,0.42384754,-0.90573355,4.66644964,2.1837142,-,6179.611702,-17214.15291,-,0.582012845,-,-3.582012269,3.582012845,-3.582012269,5.75E-07,,
5.42,-,0.23482244,-0.44142771,1.081907839,61.98875303,2.24538227,1.19445636,0.086636417,91.44279863,-9.11364732,9.80540764,6.881947,394.3065179,-,9.22E-13,1.80E-13,-3.16E-12,4.24E-13,-,0.46964487,-0.88285542,4.49076453,2.38891272,-,6803.474623,-16540.76312,-,0.491533986,-,-3.491533411,3.491533986,-3.491533411,5.75E-07,,
5.43,-,0.25681059,-0.42900853,1.031396427,59.0946623,2.15129413,1.28779519,0.014571927,87.31380748,-9.68661189,8.8549716,7.526354466,431.228346,-,8.70E-13,-2.23E-13,2.23E-12,3.69E-13,-,0.51362119,-0.85801706,4.30258826,2.57559039,-,7348.180588,-15815.57335,-,0.393302768,-,-3.393302193,3.393302768,-3.393302193,5.75E-07,,
5.44,-,0.27783097,-0.41570417,0.981637414,56.24368086,2.05200053,1.3714303,0.936203905,82.82365058,-10.15448881,7.86688244,8.142399042,466.5251002,-,8.72E-13,4.33E-14,-4.87E-13,-7.62E-14,-,0.55566193,-0.83140833,4.10400106,2.7428606,-,7810.152293,-15049.25276,-,0.288070069,-,-3.288069494,3.288070069,-3.288069494,5.75E-07,,
5.45,-,0.29783677,-0.40161332,0.932692393,53.43933772,1.94855678,1.44505132,0.851823094,77.98898622,-10.51669944,6.85432206,8.728709661,500.1182242,-,8.71E-13,8.65E-14,-2.05E-12,-6.01E-13,-,0.59567354,-0.80322664,3.89711355,2.89010265,-,8187.393584,-14252.57308,-,0.176616563,-,-3.176615987,3.176616563,-3.176615987,5.75E-07,,
5.46,-,0.31679178,-0.38683714,0.884619987,50.6849917,1.84201493,1.50847767,0.761732399,72.82716961,-10.7744498,5.83001617,9.284224494,531.9468796,-,9.41E-13,-1.89E-13,1.87E-12,1.27E-12,-,0.63358355,-0.77367427,3.68402985,3.01695534,-,8479.437922,-13436.16267,-,0.059742307,-,-3.059741732,3.059742307,-3.059741732,5.75E-07,,
5.47,-,0.33467019,-0.37147795,0.837475739,47.98382529,1.73340668,1.56165268,0.66624381,67.35607649,-10.93057752,4.80599029,9.808187458,561.967746,-,8.23E-13,1.04E-13,-1.16E-12,-9.87E-13,-,0.66934037,-0.7429559,3.46681336,3.12330536,-,8687.257705,-12610.28206,-,0.938256699,-,-2.938256123,2.938256699,-2.938256123,5.75E-07,,
5.48,-,0.35145635,-0.35563807,0.791312043,45.33884037,1.62372797,1.6046356,0.565675383,61.59393006,-10.98936711,3.79336527,10.30013994,590.1545468,-,8.86E-13,9.49E-15,-7.24E-13,-5.46E-13,-,0.7029127,-0.71127614,3.24745595,3.20927119,-,8813.140862,-11784.6272,-,0.812968971,-,-2.812968395,2.812968971,-2.812968395,5.75E-07,,
5.49,-,0.36714434,-0.33941867,0.746178094,42.75285552,1.5139255,1.63759164,0.460348322,55.55913398,-10.95634288,2.80219564,10.75990829,616.4973328,-,9.70E-13,-1.16E-13,9.14E-13,1.52E-12,-,0.73428868,-0.67883734,3.027851,3.27518327,-,8860.541915,-10968.16468,-,0.68467941,-,-2.684678835,2.68467941,-2.684678835,5.75E-07,,
5.5,-,0.38173741,-0.3229188,0.702119867,40.22850509,1.40488544,1.66078073,0.350584208,49.27011353,-10.83804884,1.84135168,11.18758769,641.0015576,-,7.85E-13,8.19E-14,-5.81E-13,-1.45E-12,-,0.76347481,-0.6458376,2.80977087,3.32156147,-,8833.915036,-10169.00128,-,0.554171411,-,-2.554170836,2.554171411,-2.554170836,5.75E-07,,
5.51,-,0.39524732,-0.30623448,0.659180134,37.76823965,1.29742436,1.67454527,0.236702407,42.74516695,-10.64182412,0.91844446,11.58352304,663.6869819,-,8.32E-13,5.35E-14,-5.48E-13,-1.55E-12,-,0.79049464,-0.61246896,2.59484871,3.34909054,-,8738.536542,-9394.288944,-,0.422204464,-,-2.422203889,2.422204464,-2.422203889,5.75E-07,,
5.52,-,0.40769363,-0.28945794,0.617398494,35.37432801,1.19228239,1.67929728,0.119017673,36.00232841,-10.3755819,0.03979149,11.94828747,684.5864443,-,1.06E-12,-9.45E-14,1.39E-13,2.01E-12,-,0.81538727,-0.57891589,2.38456477,3.35859456,-,8580.323851,-8650.16437,-,0.28950814,-,-2.289507565,2.28950814,-2.289507565,5.75E-07,,
5.53,-,0.4191029,-0.27267702,0.57681143,33.04886051,1.09011854,1.67550551,0.997837986,29.05924379,-10.04759846,-0.78958084,12.28265924,703.7445354,-,9.43E-13,-3.50E-14,2.68E-14,1.00E-12,-,0.83820581,-0.54535404,2.18023708,3.35101102,-,8365.657226,-7941.721254,-,0.15677709,-,-2.156776515,2.15677709,-2.156776515,5.75E-07,,
5.54,-,0.42950786,-0.25597461,0.537452386,30.7937534,0.99150807,1.66368263,0.873462617,21.93306008,-9.66631781,-1.56590259,12.5875975,721.2162108,-,8.48E-13,1.14E-16,1.06E-13,-1.53E-13,-,0.85901572,-0.51194921,1.98301615,3.32736527,-,8101.209692,-7273.01229,-,0.024667069,-,-2.024666494,2.024667069,-2.024666494,5.75E-07,,
5.55,-,0.43894655,-0.23942832,0.499351866,28.61075439,0.8969417,1.644373,0.746180445,14.64032878,-9.24017603,-2.28659854,12.86421761,737.0653759,-,7.62E-13,1.81E-14,5.10E-13,-1.43E-12,-,0.87789311,-0.47885665,1.7938834,3.288746,-,7793.789517,-6647.077122,-,0.893791951,-,-1.893791375,1.893791951,-1.893791375,5.75E-07,,
5.56,-,0.44746154,-0.22311022,0.462537541,26.50144899,0.80682647,1.61814107,0.616268515,7.196923476,-8.77744797,-2.95020494,13.11376645,751.3634712,-,7.45E-13,7.05E-15,7.97E-13,-1.60E-12,-,0.89492308,-0.44622045,1.61365295,3.23628215,-,7450.198562,-6065.992097,-,0.764721682,-,-1.764721107,1.764721682,-1.764721107,5.75E-07,,
5.57,-,0.45509902,-0.20708666,0.42703438,24.46726765,0.72148804,1.58556081,0.483990849,99.61797149,-8.28611804,-3.55627008,13.33759818,764.1880847,-,8.31E-13,-1.15E-14,3.19E-13,-3.83E-13,-,0.91019803,-0.41417333,1.44297608,3.17112161,-,7077.108708,-5530.937413,-,0.637981123,-,-1.637980548,1.637981123,-1.637980548,5.75E-07,,
5.58,-,0.46190806,-0.19141825,0.392864775,22.50949353,0.6411741,1.54720606,0.349597488,91.91779912,-7.77377533,-4.10524389,13.53715089,775.6216128,-,9.79E-13,4.60E-15,-7.14E-13,9.41E-13,-,0.92381611,-0.38283651,1.28234821,3.09441213,-,6680.957644,-5042.277279,-,0.51404968,-,-1.514049104,1.51404968,-1.514049104,5.75E-07,,
5.59,-,0.46793983,-0.1761599,0.360048696,20.6292707,0.5660588,1.50364219,0.213323766,84.10989001,-7.24753278,-4.59836128,13.71392437,785.7499869,-,1.19E-12,9.97E-14,-2.04E-12,1.77E-12,-,0.93587967,-0.35231981,1.13211761,3.00728438,-,6267.864336,-4599.648929,-,0.393361651,-,-1.393361076,1.393361651,-1.393361076,5.75E-07,,
5.6,-,0.47324692,-0.16136094,0.328603832,18.82761272,0.49624779,1.45541875,0.075389798,76.20685579,-6.71396895,-5.03752349,13.86945926,794.6614799,-,7.11E-13,-3.32E-14,2.86E-12,-2.30E-12,-,0.94649384,-0.32272188,0.99249557,2.9108375,-,5843.563816,-4202.056665,-,0.276307202,-,-1.276306627,1.276307202,-1.276306627,5.75E-07,,
5.61,-,0.47788262,-0.1470653,0.29854575,17.10541149,0.43178374,1.40306345,0.936000169,68.22041834,-6.17909078,-5.42518083,14.00531783,802.4456022,-,8.32E-13,-4.15E-14,6.49E-13,-3.48E-13,-,0.95576524,-0.2941306,0.86356748,2.8061269,-,5413.360273,-3847.967559,-,0.163233856,-,-1.16323328,1.163233856,-1.16323328,5.75E-07,,
5.62,-,0.48190038,-0.13331177,0.26988805,15.46344618,0.37265223,1.34707723,0.795343807,60.16140244,-5.64831496,-5.76421985,14.1230663,809.192093,-,1.08E-12,1.13E-13,-2.06E-12,8.46E-13,-,0.96380075,-0.26662354,0.74530446,2.69415446,-,4982.096994,-3535.405966,-,0.054448425,-,-1.05444785,1.054448425,-1.05444785,5.75E-07,,
5.63,-,0.48535323,-0.12013429,0.242642517,13.90239217,0.31878762,1.28793042,0.653594026,52.03973822,-5.12646567,-6.05785709,14.22425906,814.990011,-,1.01E-12,9.95E-14,-8.20E-13,1.40E-13,-,0.97070645,-0.24026857,0.63757524,2.57586084,-,4554.14138,-3262.044508,-,0.95021929,-,-0.950218715,0.95021929,-0.950218715,5.75E-07,,
5.64,-,0.48829332,-0.10756224,0.216819286,12.42282999,0.27007896,1.22605995,0.510908713,43.86447199,-4.61778587,-6.30954104,14.31042445,819.9269242,-,8.85E-13,7.53E-16,8.32E-13,-2.15E-13,-,0.97658664,-0.21512447,0.54015791,2.4521199,-,4133.383066,-3025.289741,-,0.850778936,-,-0.85077836,0.850778936,-0.85077836,5.75E-07,,
5.65,-,0.49077149,-0.09562082,0.192426984,11.02525404,0.22637567,1.16186748,0.367430656,35.64378489,-4.12595998,-6.52286339,14.38305236,824.088197,-,8.67E-13,-2.73E-14,9.95E-13,-9.94E-14,-,0.98154299,-0.19124164,0.45275133,2.32373496,-,3723.243101,-2822.361198,-,0.756326671,-,-0.756326095,0.756326671,-0.756326095,5.75E-07,,
5.66,-,0.4928369,-0.08433141,0.169472886,9.710081137,0.187493,1.09571837,0.223287982,27.38501801,-3.65414516,-6.70148,14.44358342,827.556371,-,8.95E-13,-1.38E-15,4.37E-13,-1.59E-14,-,0.98567381,-0.16866281,0.374986,2.19143673,-,3326.692156,-2650.362977,-,0.667031467,-,-0.667030892,0.667031467,-0.667030892,5.75E-07,,
5.67,-,0.49453671,-0.07371188,0.147963058,8.477658755,0.15321712,1.02794139,0.078594696,19.09470341,-3.20500921,-6.84904195,14.49339972,830.4106348,-,9.32E-13,4.94E-14,-4.31E-13,-1.33E-13,-,0.98907342,-0.14742375,0.30643423,2.05588277,-,2946.275801,-2506.347404,-,0.583034845,-,-0.583034269,0.583034845,-0.583034269,5.75E-07,,
5.68,-,0.49591581,-0.06377702,0.127902491,7.32827295,0.12330977,0.95882907,0.93345131,10.77859993,-2.78077293,-6.9691362,14.53381701,832.7263747,-,9.21E-13,2.80E-14,-4.85E-13,-1.93E-13,-,0.99183162,-0.12755405,0.24661954,1.91765815,-,2584.145039,-2387.370688,-,0.504453757,-,-0.504453181,0.504453757,-0.504453181,5.75E-07,,
5.69,-,0.49701661,-0.05453889,0.109295239,6.262155891,0.09751256,0.88863863,0.787945535,2.441733129,-2.38325514,-7.06523563,14.56607814,834.5748017,-,8.85E-13,-4.29E-14,2.48E-13,1.05E-13,-,0.99403322,-0.10907777,0.19502511,1.77727725,-,2242.090459,-2290.540713,-,0.431383422,-,-0.431382847,0.431383422,-0.431382847,5.75E-07,,
5.7,-,0.49787885,-0.0460071,0.092144535,5.279492975,0.0755507,0.81759326,0.642153042,4.088438647,-2.01391884,-7.14065761,14.59134778,836.0226454,-,8.95E-13,-1.40E-14,1.65E-13,7.71E-14,-,0.9957577,-0.0920142,0.15110139,1.63518653,-,1921.578545,-2213.057361,-,0.363900071,-,-0.363899495,0.363900071,-0.363899495,5.75E-07,,
5.71,-,0.49853945,-0.03818923,0.076452918,4.380429504,0.05713637,0.74588395,0.496138267,5.72240828,-1.67391721,-7.19853044,14.61070806,837.1319074,-,8.98E-13,-1.57E-14,-6.84E-14,-8.91E-14,-,0.9970789,-0.07637846,0.11427274,1.4917679,-,1623.788896,-2152.245882,-,0.302063565,-,-0.30206299,0.302063565,-0.30206299,5.75E-07,,
5.72,-,0.49903241,-0.03109109,0.06222233,3.565076881,0.04197159,0.67367142,0.349955249,7.346738275,-1.36413834,-7.24176665,14.6251552,837.9596675,-,8.94E-13,-2.42E-14,1.41E-13,1.33E-13,-,0.99806482,-0.06218219,0.08394317,1.34734284,-,1349.651303,-2105.583992,-,0.245919872,-,-0.245919297,0.245919872,-0.245919297,5.75E-07,,
5.73,-,0.49938869,-0.02471703,0.049454224,2.833518314,0.02975062,0.60108846,0.203648505,8.963979335,-1.08524777,-7.27304234,14.6355969,838.5579333,-,8.95E-13,-2.77E-14,2.53E-14,8.30E-15,-,0.99877739,-0.04943407,0.05950124,1.20217691,-,1099.881803,-2070.723367,-,0.195503368,-,-0.195502792,0.195503368,-0.195502792,5.75E-07,,
5.74,-,0.4996362,-0.0190702,0.038149651,2.18581402,0.02016204,0.52824233,0.057253928,0.576187925,-0.83772835,-7.29478167,14.64285041,838.9735286,-,8.98E-13,-4.62E-15,-8.78E-14,-2.20E-13,-,0.99927239,-0.0381404,0.04032409,1.05648466,-,875.0170258,-2045.506302,-,0.150838948,-,-0.150838373,0.150838948,-0.150838373,5.75E-07,,
5.75,-,0.49979966,-0.01415278,0.028309344,1.622005905,0.01289035,0.45521738,0.910799696,2.184978546,-0.62191671,-7.30914547,14.64764104,839.2480114,-,8.97E-13,-1.49E-14,-6.73E-15,-6.40E-14,-,0.99959932,-0.02830556,0.0257807,0.91043475,-,675.4462838,-2027.97825,-,0.111943952,-,-0.111943377,0.111943952,-0.111943377,5.75E-07,,
5.76,-,0.49990066,-0.00996623,0.019933784,1.14212172,0.00761726,0.38207768,0.764307198,3.791576692,-0.43803601,-7.31802335,14.65060122,839.417617,-,8.96E-13,-2.25E-14,1.93E-14,2.85E-14,-,0.99980133,-0.01993246,0.01523453,0.76415535,-,501.4409837,-2016.39696,-,0.078829865,-,-0.078829289,0.078829865,-0.078829289,5.75E-07,,
5.77,-,0.4999576,-0.00651145,0.013023275,0.746178682,0.00402272,0.30886979,0.617791966,5.396872282,-0.28622484,-7.32302843,14.65226981,839.5132202,-,8.96E-13,-2.07E-14,1.92E-15,-5.13E-14,-,0.9999152,-0.01302291,0.00804545,0.61773958,-,353.1810704,-2009.238869,-,0.051503814,-,-0.051503239,0.051503814,-0.051503239,5.75E-07,,
5.78,-,0.49998564,-0.00378896,0.007577985,0.434186564,0.0017856,0.23562554,0.471264614,7.001473394,-0.1665619,-7.325494,14.65309171,839.5603115,-,8.96E-13,-2.22E-14,-2.11E-15,-1.07E-13,-,0.99997129,-0.00757791,0.0035712,0.47125108,-,230.7782797,-2005.20336,-,0.029969848,-,-0.029969273,0.029969848,-0.029969273,5.75E-07,,
5.79,-,0.49999676,-0.001799,0.003598,0.206150242,0.00058419,0.16236484,0.324731775,8.60576018,-0.07908647,-7.32647167,14.6534176,839.5789839,-,8.96E-13,-2.70E-14,9.32E-15,6.26E-14,-,0.99999353,-0.00359799,0.00116838,0.32472967,-,134.2960622,-2003.215414,-,0.014229985,-,-0.01422941,0.014229985,-0.01422941,5.75E-07,,
5.8,-,0.49999971,-0.00054168,0.001083356,0.062071707,9.65E-05,8.91E-02,0.17819705,0.209938884,-0.02381456,-7.32673042,14.65350385,839.5839257,-,8.96E-13,-2.65E-14,6.08E-15,1.79E-14,-,0.99999941,-0.00108336,0.00019305,0.17819695,-,63.76608812,-2002.427133,-,0.00428505,-,-0.004284475,0.00428505,-0.004284475,5.75E-07,,
5.81,-,5.00E-01,-1.70E-05,3.41E+00,0.00195153,5.39E-07,1.58E-02,0.031661946,0.814095898,-7.51E-04,-7.33E+00,14.65351244,839.5844179,-,8.96E-13,-2.63E-14,5.54E-15,-3.91E-14,-,1.00E+00,-3.41E-05,1.08E-06,3.17E-02,-,19.20128061,-2002.218503,-,0.000135279,-,-0.000134704,0.000135279,-0.000134704,5.75E-07,,
5.82,-,5.00E-01,-2.25E-04,0.000450117,0.025789792,-2.59E-05,-5.74E-02,0.114873176,6.581748152,-0.00989582,-7.32675177,14.65351096,839.5843333,-,8.96E-13,-2.66E-14,5.59E-15,-1.83E-14,-,1.00E+00,-4.50E-04,-5.17E-05,-1.15E-01,-,0.605352001,-2002.197722,-,0.001780706,-,-0.00178013,0.001780706,-0.00178013,5.75E-07,,
5.83,-,0.49999864,-0.00116576,0.002331524,0.133586471,-0.00030474,-0.13070373,0.261408161,14.97758433,-0.05124946,-7.32663673,14.65347262,839.5821364,-,8.96E-13,-2.72E-14,4.99E-15,-4.74E-14,-,0.99999728,-0.00233152,-0.00060948,-0.26140745,-,7.978831685,-2002.201293,-,0.009221321,-,-0.009220746,0.009221321,-0.009220746,5.75E-07,,
5.84,-,0.49999194,-0.00283912,0.005678277,0.325341291,-0.0011582,-0.20396777,0.407942112,23.37336129,-0.1248095,-7.32604751,14.65327621,839.5708831,-,8.96E-13,-2.99E-14,1.13E-15,-9.25E-14,-,0.99998388,-0.00567825,-0.0023164,-0.40793554,-,41.3215816,-2002.294044,-,0.022457011,-,-0.022456436,0.022457011,-0.022456436,5.75E-07,,
5.85,-,0.49997249,-0.00524508,0.010490354,0.601053024,-0.00290825,-0.27722097,0.55447245,31.76893123,-0.23056602,-7.32433742,14.65270616,839.5382217,-,8.96E-13,-2.48E-14,1.60E-14,5.38E-14,-,0.99994498,-0.01049016,-0.00581651,-0.55444194,-,100.6317988,-2002.769123,-,0.041487267,-,-0.041486692,0.041487267,-0.041486692,5.75E-07,,
5.86,-,0.49992971,-0.00838346,0.016767697,0.960718254,-0.00587675,-0.35044771,0.700993967,40.16399577,-0.36849153,-7.32057689,14.65145254,839.4663942,-,8.97E-13,-2.44E-14,3.42E-14,1.14E-13,-,0.99985943,-0.01676691,-0.0117535,-0.70089543,-,185.9015052,-2004.147945,-,0.066310674,-,-0.066310099,0.066310674,-0.066310099,5.75E-07,,
5.87,-,0.49984982,-0.01225386,0.024510175,1.404329607,-0.01038512,-0.42362167,0.847497885,48.55805196,-0.53852663,-7.3135542,14.64911113,839.3322414,-,8.97E-13,-2.66E-14,4.11E-14,9.18E-14,-,0.99969964,-0.02450772,-0.02077024,-0.84724333,-,297.1085267,-2007.179994,-,0.096924178,-,-0.096923603,0.096924178,-0.096923603,5.75E-07,,
5.88,-,0.49971581,-0.01685558,0.033717552,1.931873429,-0.01675396,-0.49670298,0.993970913,56.95033828,-0.7405614,-7.30177684,14.64518364,839.107213,-,8.98E-13,-1.97E-14,9.64E-14,1.89E-13,-,0.99943162,-0.03371116,-0.03350792,-0.99340596,-,434.204969,-2012.842273,-,0.133322127,-,-0.133321551,0.133322127,-0.133321551,5.75E-07,,
5.89,-,0.49950748,-0.02218743,0.044389429,2.543326934,-0.02530241,-0.56963548,1.140394308,65.33978082,-0.97441253,-7.28347418,14.63907802,838.7573866,-,8.99E-13,-1.79E-14,9.19E-14,1.25E-13,-,0.99901495,-0.04437485,-0.05060483,-1.13927096,-,597.1022081,-2022.338159,-,0.175495087,-,-0.175494512,0.175495087,-0.175494512,5.75E-07,,
5.9,-,0.49920144,-0.02824755,0.05652519,3.238654813,-0.03634733,-0.64234393,1.286742939,73.72493973,-1.2397962,-7.25660178,14.63010898,838.2434986,-,8.93E-13,-4.59E-14,-1.05E-13,-1.77E-13,-,0.99840288,-0.05649509,-0.07269466,-1.28468785,-,785.6524359,-2037.095288,-,0.223428448,-,-0.223427873,0.223428448,-0.223427873,5.75E-07,,
5.91,-,0.49877116,-0.03503324,0.070123931,4.017805305,-0.05020208,-0.71473128,1.432984361,82.10395598,-1.53629705,-7.2188481,14.61749887,837.5209923,-,8.99E-13,-2.80E-14,1.61E-13,1.30E-13,-,0.99754232,-0.07006647,-0.10040416,-1.42946255,-,999.6268315,-2058.762053,-,0.277100802,-,-0.277100227,0.277100802,-0.277100227,5.75E-07,,
5.92,-,0.498187,-0.0425407,0.085184385,4.880705746,-0.06717508,-0.78667608,1.579077893,90.47449882,-1.86333315,-7.16764429,14.60037887,836.5400884,-,8.97E-13,-2.96E-14,-1.45E-14,-3.88E-14,-,0.996374,-0.0850814,-0.13435016,-1.57335216,-,1238.690476,-2089.202205,-,0.336482118,-,-0.336481542,0.336482118,-0.336481542,5.75E-07,,
5.93,-,0.49741626,-0.05076479,0.101704831,5.827257586,-0.08756793,-0.85802998,1.724973721,98.83371396,-2.22011768,-7.10017776,14.57779072,835.2458829,-,9.06E-13,-1.84E-14,3.78E-13,1.86E-13,-,0.99483252,-0.10152958,-0.17513587,-1.71605995,-,1502.374189,-2130.486978,-,0.401531709,-,-0.401531134,0.401531709,-0.401531134,5.75E-07,,
5.94,-,0.49642327,-0.05969874,0.119683002,6.857330907,-0.11167318,-0.92861532,1.870612005,107.178173,-2.6056174,-7.01341056,14.54868905,833.5784802,-,8.73E-13,-8.40E-14,-4.67E-13,-2.29E-13,-,0.99284653,-0.11939748,-0.22334637,-1.85723065,-,1790.043557,-2184.884109,-,0.472196013,-,-0.472195438,0.472196013,-0.472195438,5.75E-07,,
5.95,-,0.49516948,-0.06933384,0.139115978,7.970758429,-0.13977162,-0.99822307,2.015922034,115.5038244,-3.01850878,-6.90410333,14.5119444,831.4731668,-,9.06E-13,-1.80E-14,1.53E-13,1.71E-14,-,0.99033897,-0.13866769,-0.27954325,-1.99644615,-,2100.865498,-2254.843044,-,0.548406186,-,-0.54840561,0.548406186,-0.54840561,5.75E-07,,
5.96,-,0.49361364,-0.07965914,0.160000075,9.167329042,-0.17212918,-1.0666109,2.160821393,123.8059461,-3.45713244,-6.76884579,14.46634711,828.8606344,-,9.44E-13,2.10E-14,1.11E-12,1.09E-13,-,0.98722727,-0.15931828,-0.34425835,-2.13322181,-,2433.772873,-2342.975625,-,0.630075544,-,-0.630074969,0.630075544,-0.630074969,5.75E-07,,
5.97,-,0.49171188,-0.09066108,0.182330723,10.44678088,-0.20899329,-1.13350169,2.305215192,132.0791014,-3.91944692,-6.60409466,14.4106122,825.6672594,-,9.26E-13,-1.93E-14,9.16E-13,-3.84E-14,-,0.98342375,-0.18132215,-0.41798658,-2.26700337,-,2787.427753,-2452.031505,-,0.717096871,-,-0.717096295,0.717096871,-0.717096295,5.75E-07,,
5.98,-,0.489418,-0.10232314,0.206102335,11.80879396,-0.2505889,-1.19858239,2.448995338,140.3170969,-4.40298298,-6.40621985,14.34338537,821.8154457,-,9.03E-13,-5.43E-14,6.18E-13,-1.28E-13,-,0.97883599,-0.20464629,-0.50117781,-2.39716478,-,3160.184144,-2584.86757,-,0.809339614,-,-0.809339039,0.809339614,-0.809339039,5.75E-07,,
5.99,-,0.48668366,-0.11462553,0.231308179,13.25298242,-0.29711394,-1.26150346,2.592039878,148.5129453,-4.90479989,-6.17155969,14.26325024,817.2240407,-,9.28E-13,-4.14E-14,1.10E-12,-3.32E-13,-,0.97336733,-0.22925106,-0.59422788,-2.52300693,-,3550.051141,-2744.410698,-,0.906647021,-,-0.906646445,0.906647021,-0.906646445,5.75E-07,,
