Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: Link002 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - Link002 - - Link002 - Link002 - 
0.1 -  0.49865905 -0.03659441 0.0732543100770087 4.19716279855525 -0.05359489 -0.73031858 1.464564981386702 83.9133922561140 -1.60439747 -7.20901651 14.61421323259419 837.332739131886 P -8.19682100e-14 -3.21705329e-13 -2.16930118e-12 -2.14811280e-12 P  0.9973181  -0.07318881 -0.10718977 -1.46063717 - .29359870467409 2.097129249712616 - .289449079442342 - -0.28944850411779016 0.2894490794423424 -0.28944850411779016 5.753245522210904e-07 
0.11 -  0.49803745 -0.0442572  0.0886303883860974 5.07814719112869 -0.07128154 -0.80214925 1.610620345411702 92.2817481899934 -1.93793579 -7.15454506 14.59599591131132 836.288963508344 o 8.46966941e-15 1.35713663e-14 -7.19495574e-14 -1.20508048e-14 o  0.9960749 -0.0885144 -0.14256309 -1.6042985  - .562525038554494 2.14104866695969 - .3500589960610519 - -0.35005842073503396 0.35005899606105195 -0.35005842073503396 5.753260179930386e-07 
0.12 -  0.49722181 -0.0526353  0.1054660189330087 6.04275776690823 -0.09245212 -0.87335317 1.75646595346031 100.638085991697 -2.30102161 -7.08317283 14.57209185742843 834.91936210760 i 1.32274636e-13 2.52612153e-13 3.31372974e-12 1.75418791e-12 i  0.99444361 -0.10527061 -0.18490424 -1.74670635 - .855275036063687 2.19859489453849 - .416326785600174 - -0.4163262102738175 0.4163267856001747 -0.4163262102738175 5.753263572216838e-07 
0.13 -  0.49617582 -0.06172156 0.1237588024457622 7.09085705773550 -0.11739686 -0.94374611 1.902039689951610 108.9788467005989 -2.69256278 -6.99181612 14.541437240600 833.162981940753 n 2.74326339e-13 4.15397494e-13 7.12711312e-12 2.61809419e-12 n  0.99235165 -0.12344312 -0.23479372 -1.88749222 - .170968097843734 2.27225427361670 - .488195791869664 - -0.4881952165433275 0.4881957918696644 -0.4881952165433275 5.753263369046024e-07 
0.14 -  0.49486036 -0.07150681 0.1435056639014327 8.22226887777498 -0.14639363 -1.01311197 2.04726838137432 117.2998377833283 -3.1111671  -6.87719582 14.502884909593 830.954096083689 t 3.40151018e-13 3.90969035e-13 8.87439455e-12 1.99349870e-12 t  0.98972072 -0.14301361 -0.29278725 -2.02622394 - .508481717805981 2.364670699730093 - .565593538776160 - -0.5655929634501288 0.5655935387761607 -0.5655929634501288 5.753260319263376e-07 
0.15 -  0.49323357 -0.08197955 0.1647027378448736 9.43677175276088 -0.17970466 -1.08120102 2.19206698274483 125.5961865212558 -3.55509654 -6.73586941 14.45520848360419 828.22243809222 O 4.25359303e-13 3.81533027e-13 1.06289235e-11 9.76569936e-13 A  0.98646714 -0.1639591  -0.35940933 -2.16240204 - .86641456134396 2.478619804488911 - .648429138766291 - -0.6484285634400727 0.6484291387662916 -0.6484285634400727 5.753262188878949e-07 
0.16 -  0.49125107 -0.09312563 0.1873452457932838 10.73409189579620 -0.21757292 -1.14772846 2.336337809936415 133.8622960261944 -4.02222104 -6.56427066 14.3971074571731 824.893494492346 } 6.41819042e-13 5.07455411e-13  1.40581449e-11 -4.83396434e-13 }  0.98250215 -0.18625125 -0.43514584 -2.29545692 - .243049193852280 2.6169769930836 - .736590572545392 - -0.7365899972176587 0.7365905725453927 -0.7365899972176587 5.753277340092566e-07 
0.17 -  0.48886618 -0.10492785 0.2114273662377886 12.11389575899204 -0.2602179  -1.21237339 2.4799698286880 142.0918045036058 -4.5099731  -6.35875765 14.32721345387792 820.888863090256 - 9.29787802e-13 6.69828637e-13  1.70313683e-11 -2.70051714e-12 -  0.97773237 -0.2098557  -0.52043579 -2.42474678 - .636315473792936 2.78267867507126 - .829941871472411 - -0.8299412961419437 0.8299418714724114 -0.8299412961419437 5.753304677114102e-07 
0.18 -  0.48603015 -0.11736563 0.2369420978686587 13.57578219684984 -0.30783104 -1.27477836 2.622838012448538 150.2775484597825 -5.01530466 -6.11567005 14.24409776148613 816.126684704899 - 6.26357632e-13 3.81447762e-13  9.00303121e-12 -2.49315235e-12 -  0.9720603  -0.23473126 -0.61566208 -2.54955671 - .04375581986929 2.978676123667441 - .928320240710366 - -0.9283196653808232 0.9283202407103662 -0.9283196653808232 5.75329543006653e-07 
0.19 -  0.48269247 -0.13041464 0.2638811167780679 15.11927428458211 -0.36057076 -1.33454949 2.764802782506406 158.4115306236435 -5.53464818 -5.83139595 14.14628027439843 810.522155532198 - -2.56193289e-13 -2.41783482e-13 -4.27576197e-12  1.78283699e-12 -  0.96538494 -0.26082928 -0.72114152 -2.66909898 - .46249376149743 3.207881545420465 - .031533168433057 - -1.0315325931101522 1.0315331684330578 -1.0315325931101522 5.753229055383002e-07 
0.2 -  0.47880124 -0.14404641 0.2922346285372658 16.743810842758 -0.41855704 -1.39125734 2.905709545065690 166.4848934231425 -6.06388359 -5.50244875 14.03223995720164 803.988126662489 - -2.27873898e-12 -1.59977276e-12 -2.12124860e-11  1.05351319e-11 -  0.95760249 -0.28809283 -0.83711408 -2.78251469 - .88920737622515 3.47310614380272 - .139355574019320 - -1.1393549987136369 1.1393555740193202 -1.1393549987136369 5.75305683314653e-07 
0.21 -  0.47430358 -0.15822803 0.3219912161907655 18.44873772801532 -0.48186581 -1.4444386  3.04538834096743 174.4878989157818 -6.59831371 -5.12555378 13.90042692536127 796.435796253212 -  1.25902488e-12 -1.67574399e-13  2.32412845e-11 -1.80489224e-11 -  0.94860717 -0.31645607 -0.96373162 -2.88887721 - .32010939483140 3.7769902215667 - .251527055999058 - -1.2515264806617319 1.2515270559990588 -1.2515264806617319 5.753373268913009e-07 
0.22 -  0.46914609 -0.17292179 0.3531376853901564 20.23329895987463 -0.55052307 -1.49359866 3.183653624619436 182.409916122220 -7.13265017 -4.69774445 13.74927621472335 787.775498463256 - 1.42307499e-12 1.83064230e-13  1.32445166e-11 -1.23343398e-11 -  0.93829219 -0.34584357 -1.10104614 -2.98719732 - .75093590018365 4.12192569047472 - .367749308168228 - -1.367748732830547 1.3677493081682286 -1.367748732830547 5.75337681496535e-07 
0.23 -  0.46327539 -0.18808487 0.385658908019923 22.0966277611656 -0.62449897 -1.53821521 3.32030418924242 190.2394167431976 -7.6610126  -4.21646683 13.57722328039565 777.917591473437 - -2.74383183e-12 -8.32699243e-13 -2.0622565e-11  2.2676204e-11 -  0.92655077 -0.37616973 -1.24899793 -3.07643041 - .17694564213676 4.50997174216059 - .487683780119363 - -1.4876832048219404 1.4876837801193636 -1.4876832048219404 5.752974232553498e-07 
0.24 -  0.45663868 -0.20366913 0.419537665885281 24.0377376019962 -0.70370194 -1.57774293 3.455123255788521 197.9639802541822 -8.17694346 -3.67969124 13.3827212267997 766.773444695763 - -1.24629196e-12 -7.86656074e-13 -1.87947080e-12  3.04680725e-14 -  0.91327736 -0.40733826 -1.40740389 -3.15548586 - .59293201987837 4.94276487689442 - .610949664580241 - -1.610949089261225 1.6109496645802412 -1.610949089261225 5.753190162050004e-07 
0.25 -  0.44918445 -0.21962089 0.454754496186862 26.0555133461053 -0.78797311 -1.61161932 3.58787874263295 205.5703093575728 -8.67344111 -3.08602873 13.16425972470401 754.256522639590 -  2.54925681e-12 -6.80159928e-13  1.68828365e-11 -3.71167062e-11 -  0.89836889 -0.43924177 -1.57594622 -3.22323865 - .99324972454863 5.42142497745538 - .737122299513238 - -1.7371217241507113 1.7371222995132383 -1.7371217241507113 5.753625269555585e-07 
0.26 -  0.44086309 -0.23588077 0.491287540656377 28.14870260697228 -0.87708106 -1.63927169 3.718323732505324 213.044256735886 -9.14301328 -2.43484975 12.92038551793111 740.283559859403 -  1.75964487e-12 -5.25716359e-13  6.88942237e-12 -2.08717665e-11 -  0.88172618 -0.47176154 -1.75416212 -3.27854337 - .371857870049 5.946459638399697 - .865732077400042 - -1.8657315020528922 1.8657320774000428 -1.8657315020528922 5.75347150588712e-07 
0.27 -  0.43162772 -0.25238366 0.529112400410734 30.31590743157117 -0.9707173  -1.66012531 3.846197151819178 220.370863974476 -9.57775294 -1.72640156 12.64972436246664 724.775817973154 -  4.19333901e-13 -1.84257942e-13  8.12065082e-13 -6.15273166e-13 -  0.86325544 -0.50476731 -1.94143461 -3.32025062 - .72238115053812 6.51766949548336 - .996263955212446 - -1.9962633798882488 1.9962639552124468 -1.9962633798882488 5.753241980599455e-07 
0.28 -  0.42143494 -0.26905872 0.568201998723391 32.5555764377481 -1.06849262 -1.67361282 3.971224675628068 227.534413411697 -9.96943789 -0.96192038 12.35100417528446 707.660411992257 -  1.91278104e-13 -1.21474386e-13 5.02495823e-13 2.56659405e-12 -  0.84286987 -0.53811744 -2.13698525 -3.34722564 - .03819013511850 7.13405781730615 - .128157657253575 - -2.1281570819336086 2.1281576572535754 -2.1281570819336086 5.75319966777954e-07 
0.29 -  0.41024564 -0.28582952 0.608526454016662 34.86599753721653 -1.16993451 -1.67918457 4.09311986894088 234.5184935314531 -10.30965471  -0.14373357 12.02307910091907 688.871689234607 -  3.29123395e-14 -5.01927389e-14 8.46966941e-13 4.58044269e-12 -  0.82049127 -0.57165905 -2.33986901 -3.35836914 - .3125012359898 7.79374808730839 - .26080865967587 - -2.2608080843589473 2.260808659675873 -2.2608080843589473 5.75316925655045e-07 
0.3 -  0.39802587 -0.30261428 0.650052965481009 37.2452913820252 -1.27448596 -1.67632002 4.21158557181765 241.3060783233431 -10.58994696   0.72465313 11.66495413246003 668.352640003648 -  1.66778591e-13 -1.03000275e-13 1.17756827e-12 3.09682946e-12 -  0.79605174 -0.60522857 -2.54897191 -3.35264004 - .53849616501095 8.4939136797504 - .393570037182750 - -2.3935694618644794 2.3935700371827506 -2.3935694618644794 5.753182712453508e-07 
0.31 -  0.38474768 -0.3193262  0.692745713780986 39.69140567542826 -1.3815059  -1.66453987 4.3263155316581 247.8796208059077 -10.80198619   1.63848875 11.27580985306845 646.056315172851 -  3.08943982e-13 -2.02931005e-13 9.62245394e-13 1.25396582e-12 -  0.76949536 -0.6386524  -2.7630118  -3.32907973 - .70945983580362 9.23072397511529 - .52575524033993 - -2.525754665019538 2.525755240339937 -2.525754665019538 5.753203988767552e-07 
