Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: Link002 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - Link002 - - Link002 - Link002 - 
0.0 0.0 0.01 L  4.99999866e-01 -3.66265039e-04 0.00073253013608069 0.0419708851635676 -5.36706938e-05 -7.32675392e-02 0.146535116807095 8.39584374350309 -0.01610334 -7.32674443 14.6535085172900 839.584193099722 L -5.22959454e-15 -3.43987627e-12 -4.10808265e-12 -4.49478236e-10 L  9.99999732e-01 -7.32530074e-04 -1.07341384e-04 -1.46535078e-01 L -0.0008593827555036772 -2002.1977012729626 L .00289759921277771 L -0.0028970238858919933 0.002897599212777719 -0.0028970238858919933 5.753268857255738e-07 
0.18 -  0.48615462 -0.11741305 0.236921065184079 13.57457711279163 -0.30716871 -1.27638532 2.62300596928298 150.2871716775369 -5.01561276 -6.11570729 14.24417010314587 816.130829576685 -  1.22001170e-04 -5.76396046e-05  0.00065522 -0.00151886 -  0.97218724 -0.23476846 -0.61499265 -2.55125179 - 3636.4217699696737 -2782.6581041992663 - .929838856342963 - -0.9286947171639711 0.9298388563429636 -0.9286947171639711 0.001144139178992476 
0.19 -  0.48287341 -0.13049658 0.263852053552997 15.11760908444653 -0.35962443 -1.33693747 2.76505815219023 158.426162228742 -5.53517482 -5.83142627 14.14639134996163 810.52851969317 -  1.77147230e-04 -9.59679205e-05  0.00094084 -0.00225423 -  0.96556967 -0.26089719 -0.7201897 -2.6716207 - 4044.0042284438614 -2978.646093314178 - .033878470027247 - -1.0321807030400338 1.0338784700272479 -1.0321807030400338 0.0016977669872140222 
0.2 -  0.47902264 -0.14416614 0.2922010558442569 16.741887269142 -0.41741216 -1.39425577 2.906038284210931 166.503728788725 -6.06463405 -5.50244501 14.03238167882925 803.99624671361 -  0.00021656 -0.0001358   0.00114552 -0.00282698 -  0.95782872 -0.28819648 -0.83596984 -2.78568457 - 4462.91838779771 -3207.857097586321 - .14240210336223 - -1.1403019735648416 1.142402103362237 -1.1403019735648416 0.002100129797395267 
0.21 -  0.47454237 -0.15838488 0.321957628944924 18.4468133205831 -0.48063202 -1.44777513 3.045764228410907 174.5094356798646 -6.59925216 -5.12548702 13.90058266806004 796.444719652541 -  0.00023347 -0.00017278  0.00124475 -0.00314206 -  0.94885127 -0.31659698 -0.96250878 -2.8924082  - 4889.812458904685 -3473.1091609507494 - .255016819441506 - -1.2527670692920134 1.2550168194415061 -1.2527670692920134 0.002249750149492691 
0.22 -  0.46937628 -0.17311136 0.3531087566368130 20.23164146440148 -0.54931116 -1.49694633 3.18404256580932 182.4322008108801 -7.13370154 -4.69759133 13.74942281477369 787.783898027417 -  0.00022519 -0.00020315  0.00123595 -0.00314928 -  0.93852738 -0.34601958 -1.09985827 -2.99074339 - 5320.866055538171 -3777.0440442395643 - .371332561930776 - -1.3692482331973774 1.3713325619307761 -1.3692482331973774 0.0020843287333986993 
0.23 -  0.46347166 -0.18829957 0.3856388495964772 22.09547849815847 -0.6234038  -1.54123613 3.32066859537870 190.2602956768352 -7.66206996 -4.21621657 13.5773338438629 777.923926293482 -  0.0001925  -0.00022399  0.00113284 -0.00283958 -  0.92675082 -0.37637514 -1.24794045 -3.07963268 - 5751.783604486785 -4122.049148922775 - .490965829354557 - -1.4893814106789693 1.4909658293545576 -1.4893814106789693 0.0015844186755882284 
0.24 -  0.45677942 -0.20389887 0.419529745395218 24.03728379134397 -0.70279123 -1.58012718 3.455426334044915 197.9813453591358 -8.17788035 -3.67935103 13.38276850328000 766.776153438554 -  0.00013912 -0.00023336  0.00095995 -0.00224028 -  0.91341971 -0.40756438 -1.4065424  -3.15801408 - 6177.798171982327 -4510.1735195761785 - .613540135591407 - -1.6127662495570345 1.6135401355914079 -1.6127662495570345 0.0007738860343733389 
0.25 -  0.44925407 -0.21985407 0.4547607084990807 26.05586928537643 -0.78728176 -1.61311809 3.58808851668716 205.5823285255303 -8.67412767 -3.08562628 13.16421973930742 754.254231645124 -  7.09841605e-05 -2.30390356e-04  0.00074744 -0.00140944 -  0.89843715 -0.43947775 -1.57531095 -3.22482675 - 6593.687416798874 -4943.0391833184885 - .73868311661320 - -1.7389661000740275 1.738683116613209 -1.7389661000740275 -0.0002829834608184534 
0.26 -  0.44085373 -0.23610537 0.4913084302688548 28.14989949360288 -0.87661079 -1.63972339 3.718416596138018 213.0495774301099 -9.14333453 -2.43443218 12.92024110598227 740.275285664223 - -4.43212473e-06 -2.15391622e-04  0.00052642 -0.00042909 -  0.88171189 -0.47199535 -1.753748   -3.27901769 - 6993.803285540454 -5421.749465672616 - .86602030112056 - -1.8675080148946113 1.866020301120561 -1.8675080148946113 -0.0014877137740503255 
0.27 -  0.43154015 -0.25258839 0.529147028960074 30.31789150129902 -0.97044076 -1.65947353 3.84616074318339 220.368777913308 -9.57762719 -1.72603003 12.64946822086485 724.761142140414 - -7.88274644e-05 -1.89787179e-04 0.00032485 0.00060245 -  0.86315913 -0.504987   -1.94120636 -3.31954951 - 7372.116891415779 -5946.79631483032 - .995165720343075 - -1.9978827491056577 1.9951657203430753 -1.9978827491056577 -0.0027170287625823963 
0.28 -  0.42127869 -0.26923416 0.568248049723018 32.5582149656691 -1.06836117 -1.67191491 3.97105984656255 227.5249694019025 -9.96883277 -0.9616605  12.35064103575362 707.639605629766 - -0.00014385 -0.00015603 0.00016418 0.00157924 -  0.84270124 -0.53831229 -2.13688651 -3.34540906 - 7722.279755977586 -6517.969055056761 - .125709689890046 - -2.129544760216247 2.1257096898900465 -2.129544760216247 -0.0038350703262004515 
0.29 -  0.41003832 -0.28596912 0.608580464602710 34.8690921158461 -1.16988858 -1.67660984 4.09284151296810 234.5025449090109 -10.30859836  -0.14364247 12.02262664680347 688.845765523360 - -0.00019188 -0.00011744 5.70519178e-05 2.39734652e-03 -  0.82026852 -0.5718208  -2.33983421 -3.35561703 - 8037.70223826021 -7134.267356927876 - .257204254153636 - -2.261912208157667 2.2572042541536366 -2.261912208157667 -0.004707954004030235 
