Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: Link002 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - Link002 - - Link002 - Link002 - 
0.0 0.0 0.01 L  4.99999866e-01 -3.66265039e-04 0.00073253013608069 0.0419708851635676 -5.36706938e-05 -7.32675392e-02 0.146535116807095 8.39584374350309 -0.01610334 -7.32674443 14.6535085172900 839.584193099722 L -5.22959454e-15 -3.43987627e-12 -4.10808265e-12 -4.49478236e-10 L  9.99999732e-01 -7.32530074e-04 -1.07341384e-04 -1.46535078e-01 L -0.0008593827555036772 -2002.1977012729626 L .00289759921277771 L -0.0028970238858919933 0.002897599212777719 -0.0028970238858919933 5.753268857255738e-07 
89.53 -  1.24147711 10.51346614 2.633172742194479 150.8696848566332  0.85378933 -1.32601659 .399138730367489 94.7563032295142  8.16187716 -2.77825573 2.80005971978925 33.389399459331 -  1.6782345  10.75686495 0.026443   0.15858238 -  0.80471972 10.27006732  1.68113566 -2.81061555 - -6236.246184121855 -5209.946503182554 - .397402575276491 - 83.15771176346172 1.3974025752764911 83.15771176346172 84.5551143387382 
89.54 -  1.25044985 10.50002477 2.598541682786268 148.8854713124759  0.93815972 -1.35099024 .5260731694948 02.0291108663711  8.56367277 -2.15785636 2.54540067603560 18.798511037409 -  1.67851789 10.75839999 0.02710979 0.15840899 -  0.82238181 10.24164955  1.84920965 -2.86038946 - -6580.784316988725 -5669.577167881903 - .515331804788246 - 83.05139539635175 1.5153318047882463 83.05139539635175 84.56672720114 
89.55 -  1.26031883 10.48629025 2.56265001129193 146.829030016180  1.02747758 -1.36985011 .65062285747743 09.165282327445  8.93314199 -1.48753408 2.26560008537819 02.767118087472 -  1.67883965 10.75985985 0.02877816 0.15801156 -  0.84179801 10.21272066  2.026177   -2.89771178 - -6904.745357757775 -6169.79475230158 - .637330265155101 - 82.94276036356264 1.6373302651551016 82.94276036356264 84.58009062871774 
89.56 -  1.27111668 10.47237072 2.525528129228381 144.7021028463566  1.12083282 -1.38188761 .772396967302738 16.1424248743981  9.26266122 -0.76893688 1.95959310415949 85.234209562102 -  1.67919608 10.76128456 0.03093515 0.15754988 -  0.86303728 10.18345689  2.2107305 -2.9213251 - -7202.6421780029 -6710.26432984108 - .762413835907740 - 82.83266191589428 1.7624138359077404 82.83266191589428 84.59507575180201 
89.57000000000001 -  1.28286937 10.45837107 2.48720887669651 142.506571402184  1.21733424 -1.38648527 .891019586000105 22.939000280546  9.54456049e+00 -4.69645336e-03 1.62643608641066 66.14571852992 -  1.67958095 10.76270629 0.03315995 0.15712725 -  0.8861578  10.15403586  2.40150852 -2.93009779 - -7468.32799148925 -7289.657172320037 - .88956086427541 - 82.72192975168171 1.889560864275416 82.72192975168171 84.61149061595712 
89.58 -  1.29559622 10.44439296 2.447727533303629 140.2444570562656  1.31610965 -1.38311683 .00612977157132 29.5343280927454 9.77126758 0.80152053 1.2653268237671 45.455681837375 -  1.67998621 10.76414964 0.03512286 0.15679933 -  0.91120624 10.12463627  2.59709644 -2.92303298 - -7695.618633949652 -7905.851376484999 - .017734785389936 - 82.61136790700922 2.0177347853899366 82.61136790700922 84.62910269239916 
89.59 -  1.30930988 10.43053478 2.407121818163208 137.9179209546090  1.41630596 -1.37134723 .11738155299109 35.9085856314100 9.93546454 1.6449817  0.87562447077142 23.127381744402 -  1.68040263 10.76563204 0.0365827  0.15658322 -  0.93821713 10.09543752  2.79602922 -2.89927767 - -7878.408745017355 -8555.890576940648 - .1459080198141 - 82.50175475570988 2.14590801981418 82.50175475570988 84.64766277552407 
89.60000000000001 -  1.32401634 10.41689171 2.365431889895291 135.5292640166542  1.51708911 -1.35083262 .22444393020603 42.0428079904637 10.03025401  2.51988177 0.45686880992392 99.134449730628 -  1.68082052 10.76716415 0.03738283 0.15646661 -  0.96721217 10.06661927  2.99679539 -2.85813185 - -8010.797995864056 -9235.959131176673 - .273085554494584 - 82.39384300936645 2.2730855544945845 82.39384300936645 84.66692856386103 
89.61 -  1.33971496 10.40355566 2.32270034662630 133.080926935260  1.61764412 -1.32132037 .32700087413520 47.9188880373653 10.0493316   3.41936173 0.0087984804220 73.461910925137 -  1.6812303  10.76875051 0.0374457  0.15641679 -  0.99819962 10.03836082  3.19784253 -2.79905754 - -8087.225153859138 -9941.376346500881 - .39832661619506 - 82.28835971731088 2.398326616195064 82.28835971731088 84.68668633350595 
89.62 -  1.35639841 10.39061532 2.27897222598885 130.5754901766957  1.71717503 -1.28264906 .42475132667054 53.519576413133 9.98716017 4.33555638 .53136777712766 46.107146616404 -  1.68162308 10.77039013 0.03676593 0.15638927 -  1.03117373 10.01084051  3.39758413 -2.72168739 - -8102.607089387443 -10666.6119142583 - .520763092010290 - 82.18600626662399 2.5207630920102906 82.18600626662399 84.70676935863428 
89.63 -  1.37405271 10.3781561  2.23429500512218 128.015673980661  1.81490498 -1.23474845 .51740920067579 58.828481532289 9.83914134 5.25967171 .02476161662849 17.080751744474 -  1.68199122 10.77207725 0.03540194 0.15633582 - 1.0661142  9.98423495  3.59440801 -2.62583271 - -8052.479317232936 -11405.324256665937 - .63961359710162 - 82.08745838213635 2.639613597101629 82.08745838213635 84.72707197923798 
89.64 -  1.39265724 10.3662602  2.188718600671651 125.40433836026  1.91007613 -1.17763954 .60470337998769 63.8300695829197 9.60177873 6.18209263 .48940826651186 86.407264234602 -  1.68232868 10.77380217 0.03346626 0.15621155 - 1.10298579 9.95871824  3.78668599 -2.51149062 - -7933.1342184033665 -12150.422911057285 - .754192335350613 - 81.99336612642722 2.7541923353506133 81.99336612642722 84.74755846177783 
89.65 -  1.41218471 10.35500656 2.1422953687891 122.744483102042  2.00194972 -1.11143452 .68637771941498 68.5096645266224 9.27282778 7.09252057 .92598944330227 54.125743566465 -  1.68263145 10.77555211 0.03111442 0.15598107 - 1.14173796 9.93446101  3.97278501 -2.37885011 - -7741.7527369028685 -12894.155384309403 - .86391214416067 - 81.90435389982552 2.863912144160676 81.90435389982552 84.7682660439862 
89.66 -  1.43260117 10.34447088 2.095080105133108 120.0392477659519  2.08980603 -1.0363368  .762191044738858 72.853448098532 8.85142628 7.98013955 .33544740465754 20.2901771270706 -  1.68289772 10.77731223 0.02853283 0.15562321 - 1.18230461 9.91162953  4.15107923 -2.22829682 - -7476.525118024796 -13628.218122422162 - .96828136019282 - 81.82102044040938 2.968281360192826 81.82102044040938 84.7893018006022 
89.67 -  1.45386601 10.3347256  2.047130044867893 117.2919116853571  2.17294441 -0.952641   .83191715271325 76.848459807339 8.33820027 8.83380796 .71898869308392 84.9696947098 -  1.68312807 10.77906659 0.02592558 0.15513424 - 1.22460396 9.89038462  4.31996324 -2.06041625 - -7136.756176053642 -14343.890379711751 - .066894388360241 - 81.74393882400582 3.0668943883602418 81.74393882400582 84.81083321236606 
89.68 -  1.47593199 10.32583994 1.998504862664606 114.5058939670541  2.25068326 -0.86073293 .8953448110641 80.4825969352454 7.7353401  9.64227241 .0780842317991 48.248574007108 -  1.68332541 10.78079924 0.02350059 0.15452939 - 1.26853856 9.87088064  4.47786592 -1.87599525 - -6722.950671449778 -15032.188868290075 - .15941610195283 - 81.67365646419141 3.159416101952837 81.67365646419141 84.83307256614425 
89.69 -  1.49874517 10.31787986 1.949266672700691 111.6847534912584  2.32236003 -0.76108963 .95227775849014 83.744614537992  7.0466422  10.39439866 .41446552832521 10.2260230921062 -  1.68349492 10.78249532 0.0214552  0.15384244 - 1.31399542 9.8532644   4.62326486 -1.67602171 - -6236.874656196367 -15684.040157227202 - .245560447312215 - 81.61069511229196 3.2455604473122155 81.61069511229196 84.85625555960418 
89.7 -  1.52224499 10.31090808 1.899480028659759 108.8321889115928  2.38733124 -0.65427934 .00253470466224 86.6241254448706  6.27751269 11.07941401 .73011680747413 71.0157296721630 -  1.68364372 10.78414211 0.01996158 0.15312344 - 1.36084625 9.83767405  4.7547009  -1.46168213 - -5681.589118790166 -16290.466912483225 - .32506387201861 - 81.55555085738224 3.325063872018612 81.55555085738224 84.88061472940086 
89.71000000000001 -  1.5463642  10.30498408 1.84921192373200 105.9520386551117  2.44497246 -0.5409615  .0459493302238 89.1116002586888  5.43493029 11.68715416 .02726297158587 30.7451712611850 -  1.6837805  10.78573012 0.01915228 0.15243419 - 1.4089479  9.82423803  4.87079265 -1.2343572  - -5061.452926012508 -16842.783266806673 - .39765444109749 - 81.50869412628653 3.397654441097498 81.50869412628653 84.90634856738403 
89.72 -  1.57102893 10.30016408 1.79853179061400 103.0482809222891  2.49467831 -0.42188678 .08237028679058 91.198367355794  4.52736704 12.20830751 .30835337077615 89.5546852833532 -  1.68391495 10.78725416 0.01910616 0.15184177 - 1.45814291 9.813074    4.97025047 -0.99561533 - -4382.092905456652 -17332.793927871924 - .46301775130212 - 81.47056968357828 3.463017751302128 81.47056968357828 84.93358743488041 
89.73 -  1.59615861 10.29650107 1.747511501508494 100.1250336870061  2.53586248 -0.29789703 .11166119695091 92.876612886077  3.5646668  12.63464902 .57604145782293 47.5963033839821 -  1.68405704 10.7887143  0.0198352  0.15140996 - 1.50826018 9.80428784  5.05188976 -0.74720402 - -3650.3399183876118 -17752.99111582709 - .520760999070153 - 81.44159663158004 3.5207609990701534 81.44159663158004 84.96235763065019 
89.74 -  1.62166606 10.2940448  1.69622536812487 97.1865546965797  2.5679577  -0.16992534 .133700654265342 94.1393807729535  2.55788305 12.95925578 .83316049887350 05.0323597555484 -  1.68421626 10.79011684 0.02127233 0.15118871 - 1.55911585 9.79797276  5.11464307 -0.49103938 - -2874.130903908638 -18096.74310665658 - .570376803298555 - 81.42216841036375 3.5703768032985552 81.42216841036375 84.99254521366231 
89.75 -  1.64745739 10.29284176 1.644750141678636 94.2372414717300  2.59041577 -0.03899598 .14838222326700 94.9805727133790  1.51907895 13.17669681 .082695609823000 2.0338889402008 -  1.6844006  10.79147509 0.02326079 0.15120179 - 1.61051418 9.79420843  5.15757075 -0.22919375 - -2062.3780897228057 -18358.468076950056 - .611208629629411 - 81.41265279775052 3.6112086296294117 81.41265279775052 85.02386142737994 
89.76 -  1.6734321 10.2929352 1.59316501289185 91.2816313066089 2.60270754 0.09377556 .15561443946134 95.39494817784  0.46109432 13.28318995 .327752486320681 8.77883419109429 -  1.68461552 10.79281012 0.02554521 0.15143291 - 1.66224869 9.79306029 5.17986988 0.03611821 - -1224.8078109334742 -18533.787120712313 - .642419908479833 - 81.41339190931069 3.6424199084798334 81.41339190931069 85.05581181779053 
89.77 -  1.69948301 10.29436514 1.541551611993004 88.3244012687878 2.60432292 0.22718257 .15532080932627 95.3781244103633 -0.60271461 13.27671969 0.428476710294122 24.54990711950288 -  1.68486274 10.79415134 0.02776471 0.15181037 - 1.71410329 9.79457894 5.18088113 0.30255477 - -371.77259952103515 -18619.65074978616 - .662969184599317 - 81.42470219836386 3.6629691845993175 81.42470219836386 85.08767138296318 
