Time:,Body1,x,y,phi(r),phi(d),dx/dt,dy/dt,dphi/dt(r),dphi/dt(d),d2x/dt2,d2y/dt2,d2phi/dt2(r),d2phi/dt2(d),Point1,x,y,dx/dt,dy/dt,Point2,x,y,dx/dt,dy/dt,Lam1,x,y,Kin1,-,Pot1,-,TotKin,TotPot,Total
Time:,Link002,-,-,-,-,-,-,-,-,-,-,-,-,Link001-{PointO},-,-,-,-,Link001-{PointA},-,-,-,-,Link002,-,-,Link002,-,Link002,-,,,
0.13,-,0.02193127,-0.0449335,1.116727888,63.98379484,-0.70771595,-0.34542395,15.75029605,902.4254899,-8.16079406,9.81902144,60.53978788,3468.674338,n,2.50E-14,8.98E-14,1.30E-12,3.87E-13,n,0.04386253,-0.089867,-1.41543189,-0.69084789,-,0.704139306,1.693654494,-,0.038033426,-,-0.038033425,0.038033426,-0.038033425,1.11E-09
0.14,-,0.01448307,-0.04785646,1.276923346,73.16231847,-0.7778833,-0.23541515,16.25450981,931.3148103,-5.73983669,12.06508554,39.97953161,2290.658428,t,7.06E-14,7.13E-14,2.51E-12,-1.48E-12,t,0.02896613,-0.09571292,-1.5557666,-0.4708303,-,0.495251393,1.88745206,-,0.04050753,-,-0.040507529,0.04050753,-0.040507529,1.11E-09
0.15,-,0.00646647,-0.04958008,1.441103604,82.56915438,-0.82028445,-0.10698544,16.54463613,947.9378238,-2.65505264,13.45587951,17.85026283,1022.744723,O,1.24E-14,-8.46E-16,4.12E-13,-3.43E-14,A,0.01293295,-0.09916017,-1.6405689,-0.21397087,-,0.229086399,2.007454193,-,0.041966471,-,-0.04196647,0.041966471,-0.04196647,1.11E-09
0.16,-,-0.00181293,-0.04996712,1.607062807,92.07791625,-0.82990828,0.03011105,16.60908698,951.6305853,0.75017568,13.77494605,0.004461825,86.73454132,},1.13E-14,4.48E-16,3.55E-13,1.57E-13,},-0.00362585,-0.09993424,-1.65981656,0.06022211,-,0.064727547,2.03498427,-,0.042294074,-,-0.042294073,0.042294074,-0.042294073,1.11E-09
0.17,-,-0.01001808,-0.0489861,1.772523282,101.5581031,-0.80558784,0.16474963,16.4452329,942.2424384,4.06401901,12.97103744,7.654231449,584.4707477,-,-2.77E-14,3.29E-14,2.13E-12,2.77E-12,-,-0.02003616,-0.0979722,-1.61117569,0.32949926,-,0.350656505,1.965620475,-,0.041463701,-,-0.0414637,0.041463701,-0.0414637,1.11E-09
0.18,-,-0.0178209,-0.04671633,1.935227645,110.8803764,-0.75025115,0.28619867,16.0597193,920.154136,6.89440528,11.17215214,9.19339875,818.5741283,-,-3.89E-14,1.13E-13,6.59E-12,3.56E-12,-,-0.0356418,-0.09343266,-1.50050229,0.57239733,-,0.594871249,1.810406921,-,0.03954248,-,-0.039542479,0.03954248,-0.039542479,1.11E-09
0.19,-,-0.0249408,-0.0433354,2.093028467,119.9216976,-0.67029772,0.38577613,15.46767273,886.2323662,8.95058821,8.65083649,8.847400618,944.6654859,-,1.20E-14,2.14E-13,1.07E-11,2.41E-13,-,-0.0498816,-0.08667079,-1.34059543,0.77155225,-,0.772285261,1.592859776,-,0.036680729,-,-0.036680728,0.036680729,-0.036680728,1.11E-09
0.2,-,-0.03117333,-0.0390925,2.243965068,128.5697278,-0.57430653,0.45796628,14.69096459,841.7302681,10.09194955,5.75459319,6.051880779,930.4095878,-,-1.30E-14,-1.80E-13,-5.23E-12,3.92E-12,-,-0.06234666,-0.078185,-1.14861305,0.91593256,-,0.870765553,1.342962678,-,0.03308938,-,-0.033089379,0.03308938,-0.033089379,1.11E-09
0.21,-,-0.03640422,-0.03427437,2.386319627,136.7260432,-0.47147416,0.50077207,13.75587939,788.1538326,10.33284015,2.82723038,0.491403756,757.7333126,-,1.72E-13,1.73E-13,5.65E-12,-6.87E-12,-,-0.07280844,-0.06854875,-0.94294831,1.00154414,-,0.891550361,1.090380491,-,0.029011135,-,-0.029011134,0.029011135,-0.029011134,1.11E-09
0.22,-,-0.04060822,-0.02917143,2.518648755,144.3079437,-0.37020322,0.51534305,12.69060889,727.118329,9.81002555,0.14607435,12.09626451,422.6428554,-,-8.75E-14,-5.31E-14,7.42E-13,4.57E-12,-,-0.08121644,-0.05834286,-0.74040644,1.03068611,-,0.846440252,0.859041808,-,0.02469181,-,-0.024691809,0.02469181,-0.024691809,1.11E-09
