Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: DapBody001 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - DapBody001 - - DapBody001 - DapBody001 - 
0.0 0.0 0.01 D -4.33012570e-01 -3.38130014e-04 .000780877897184830 .04474100782374141  5.27659945e-05 -6.75726435e-02 .1560523833498923 .9411429489064  0.01582147 -6.75725447 5.60523452974642 94.114076866289 L -2.05773176e-14 -2.99649194e-16  1.75519321e-16 -1.90851779e-14 L -2.05773176e-14 -2.99649194e-16  1.75519321e-16 -1.90851779e-14 D -0.0033558552289776797 -2461.3674261556193 D .002672376413699559 D -0.00267448602183905 0.0026723764136995596 -0.00267448602183905 -2.1096081394902932e-06 
0.02 a -0.43301059 -0.00135172 .00312166279181636 .1788581030341035  0.00042188 -0.13514455 .312104481531835 7.88226955889294  0.06327299 -6.75706931 5.6051632528127 94.109992998813 i -2.04636308e-14  7.66053887e-17 -2.04836148e-17  1.02318154e-15 i -2.04636308e-14  7.66053887e-17 -2.04836148e-17  1.02318154e-15 a -12.756585422257494 -2461.377387491177 a .01068948612094935 a -0.010691595729086756 0.010689486120949353 -0.010691595729086756 -2.109608137403421e-06 
0.03 p -0.43300202 -0.00304101 .00702296207983164 .4023860868547720  0.00142366 -0.20271201 .4681548693137410 6.82329817017597  0.14235508 -6.75626706 5.604854448355 94.092299806735 n -2.04067874e-14 -1.64268599e-15  3.88244992e-15 -4.72653028e-14 n -2.04067874e-14 -1.64268599e-15  3.88244992e-15 -4.72653028e-14 p -51.01594788967063 -2461.5266812571704 p .02405115338005874 p -0.02405326298820236 0.024051153380058747 -0.02405326298820236 -2.1096081436119962e-06 
0.04 B -0.43297896 -0.00540591 .01248474250577788 .715323053888656  0.00337437 -0.2702654  .624199841407812 5.76401648540300  0.25305359 -6.75410735 5.60402311842373 94.044668110245 k -2.06341610e-14  2.37676545e-15 -1.72555303e-14  1.13516307e-13 k -2.06341610e-14  2.37676545e-15 -1.72555303e-14  1.13516307e-13 B -114.77850800818268 -2462.1735245157106 B .04275669483684981 B -0.04275880444499722 0.042756694836849816 -0.04275880444499722 -2.1096081474006323e-06 
0.05 o -0.43293032 -0.00844621 .01950691761217650 .117664050487127  0.00659    -0.33778621 .780232272800478 4.70401627136731  0.39533171 -6.74955415 5.60227033016191 93.94424074046 '0' -1.98951966e-14 -8.03090927e-15  2.30899744e-14 -9.83959580e-14 '0' -1.98951966e-14 -8.03090927e-15  2.30899744e-14 -9.83959580e-14 o -204.03285244445965 -2463.9148561353636 o .0668043339518895 o -0.06680644356006898 0.06680433395188955 -0.06680644356006898 -2.1096081794375054e-06 
0.06 d -0.43284189 -0.01216143 .02808930784732698 .6093987890955  0.01138602 -0.4052441  .936240479998961 3.64262811324283  0.56911305 -6.74127663 5.59908335352243 93.761640429614 '0' -1.94404493e-14 -1.01181286e-14  4.40518733e-14 -1.29659838e-13 '0' -1.94404493e-14 -1.01181286e-14  4.40518733e-14 -1.29659838e-13 d -318.749311652055 -2467.586031502456 d .0961903815777931 d -0.09619249118597197 0.09619038157779314 -0.09619249118597197 -2.1096081788268828e-06 
0.07 y -0.43269628 -0.01655073 .0382315892946536 .19050871066119  0.01807683 -0.47259395 .092207084319422 2.57885628579213  0.77425984 -6.72765121 5.5938359431425 93.46098596147 '1' -1.85309545e-14 -1.45767842e-14  7.27382599e-14 -1.54159352e-13 '1' -1.85309545e-14 -1.45767842e-14  7.27382599e-14 -1.54159352e-13 y -458.8662842067905 -2474.26005345035 y .1309081834708312 y -0.13091029307903038 0.13090818347083127 -0.13091029307903038 -2.1096081991023308e-06 
0.08 '0' -0.43247299 -0.02161274 .049933231052312 .860963396749087  0.02697503 -0.53977295 .248107879032952 1.5113138456128  1.01054646 -6.706765   5.5857888427925 92.999921074102 - -1.72235559e-14 -1.99129602e-14  8.48778825e-14 -1.33240974e-13 - -1.72235559e-14 -1.99129602e-14  8.48778825e-14 -1.33240974e-13 '0' -624.2726918305137 -2485.2459985229243 '0' .1709468363145097 '0' -0.17094894592275928 0.17094683631450971 -0.17094894592275928 -2.1096082495619672e-06 
0.09 '0' -0.43214839 -0.02734535 .0631934213143655 .620716334305206  0.03839042 -0.60669775 .403910703059928 0.4381580985780  1.27762835 -6.67642148 5.57409060781786 92.329661582298 { -2.34194886e-14  6.25632879e-15 -1.59658953e-13  1.85423232e-13 { -2.34194886e-14  6.25632879e-15 -1.59658953e-13  1.85423232e-13 '0' -814.7866220518371 -2502.0862021862495 '0' .216289675060685 '0' -0.2162917846688888 0.2162896750606859 -0.2162917846688888 -2.1096082029048446e-06 
0.1 '1' -0.43169577 -0.03374549 .078010982236756 .46970003783615  0.05262861 -0.67326165 .559574324939267 9.3570266559844  1.57500651 -6.63414917 5.55777885756433 91.395067136 P -2.34194886e-14  8.05755462e-15 -7.81454901e-14  7.05995262e-14 P -2.34194886e-14  8.05755462e-15 -7.81454901e-14  7.05995262e-14 '1' -1030.1302595336258 -2526.5516738716046 '1' .2669125361372439 '1' -0.2669146457453596 0.26691253613724397 -0.2669146457453596 -2.109608115641315e-06 
0.11 - -0.43108541 -0.04080894 .0943842737142130 .40782053623196  0.06998926 -0.73933189 .715047341996492 8.2649743615289  1.90198792 -6.5772141  5.53578208560414 90.134744940069 o -7.27595761e-15 -4.06501499e-14  2.64677169e-13 -1.79738890e-13 o -7.27595761e-15 -4.06501499e-14  2.64677169e-13 -1.79738890e-13 - -1269.901269666004 -2560.635124877032 - .322781803416014 - -0.32278391302437914 0.3227818034160143 -0.32278391302437914 -2.1096083648308728e-06 
0.12 - -0.43028461 -0.04852995 .1123110862503855 .43495123467686  0.09076397 -0.80474715 .870267100992331 07.158411449028  2.2576423  -6.50263705 5.50692217028879 88.481193595394 i -3.59250407e-14  2.77466938e-14 -4.06998879e-13  1.91676008e-13 i -3.59250407e-14  2.77466938e-14 -4.06998879e-13  1.91676008e-13 - -1533.540881918002 -2606.540912139545 - .383852246872050 - -0.383854356480129 0.3838522468720509 -0.383854356480129 -2.1096080781157767e-06 
0.13 - -0.42925781 -0.05690106 .131788523173962 .550926166130107  0.11523367 -0.86931517 .0251586480234 16.0330433761640  2.64075583 -6.40721658 5.46991774127068 86.360995989365 n  2.27373675e-16 -4.81961138e-14  2.69167799e-13 -9.39053280e-14 n  2.27373675e-16 -4.81961138e-14  2.69167799e-13 -9.39053280e-14 - -1820.2990280267672 -2666.671132663716 - .450064667643831 - -0.4500667772523083 0.4500646676438318 -0.4500667772523083 -2.109608476519309e-06 
0.14 - -0.42796673 -0.06591268 .1528128725376784 .75553265167957  0.14366551 -0.9328107  .179633717054167 24.8838128716156  3.04978261 -6.28755891 5.42338856856102 83.695070768866 t -1.85309545e-14 -4.83169060e-15  8.64019967e-14 -9.89075488e-15 t -1.85309545e-14 -4.83169060e-15  8.64019967e-14 -9.89075488e-15 - -2129.1970229936915 -2743.607051958036 - .521343367772683 - -0.5213454773808436 0.5213433677726839 -0.5213454773808436 -2.109608159717169e-06 
0.15 - -0.42637046 -0.07555283 .1753794691422265 0.0485033950944  0.17630932 -0.99497374 .33358976818135 33.7048448317036  3.48279492 -6.14011565 5.36586114871047 80.398992405153 O -6.83257895e-14  4.81179541e-14 -1.00612851e-12  3.72892828e-14 A -6.83257895e-14  4.81179541e-14 -1.00612851e-12  3.72892828e-14 - -2458.98843564793 -2840.085021264787 - .597593468330963 - -0.5975955779388916 0.5975934683309633 -0.5975955779388916 -2.1096079283466906e-06 
0.16 - -0.42442573 -0.08580673 .1994825472436745 1.42950804358160  0.21339355 -1.05550822 .48690908848875 42.48939480313  3.93743355 -5.96123047 5.295775667006 76.383390098374 } -6.36077857e-14  2.19415597e-14 -1.12754606e-12 -1.14368959e-13 } -6.36077857e-14  2.19415597e-14 -1.12754606e-12 -1.14368959e-13 - -2808.1189795314317 -2958.966039800143 - .678698105851366 - -0.6787002154594584 0.6786981058513665 -0.6787002154594584 -2.109608091882542e-06 
0.17 - -0.42208711 -0.09665647 .2251150846428223 2.89814425476401  0.25512068 -1.11408118 .639457970148684 51.2298018916868  4.41085975 -5.74719544 5.2114945142362 71.554435752142 - -2.20552465e-14 -2.80948598e-14 -5.75028025e-13 -1.57115210e-13 - -2.20552465e-14 -2.80948598e-14 -5.75028025e-13 -1.57115210e-13 - -3174.686461393673 -3103.1981575937216 - .764515544003900 - -0.7645176536123077 0.7645155440039008 -0.7645176536123077 -2.1096084069638366e-06 
0.18 - -0.41930727 -0.10808059 .2522686390096409 4.45392831876174  0.30166222 -1.17032264 .79108598218858 59.9174470375319  4.89971071 -5.49431799 5.11131253057988 65.81443090538 - -2.40447662e-14 -3.41486839e-14 -7.31176897e-13 -3.06727088e-13 - -2.40447662e-14 -3.41486839e-14 -7.31176897e-13 -3.06727088e-13 - -3556.40204906052 -3275.7710004242695 - .854876245181197 - -0.8548783547895655 0.8548762451811975 -0.8548783547895655 -2.1096083679950084e-06 
